Country,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 
Finland,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 58.9880634, 62.4093711, 65.2445295, 67.3679075, 69.6109125, 70.7294243, 71.0105476, 71.7700000, 72.6433333, 73.6233333, 74.5875000, 76.7891667, 78.8358333, 80.4183333, 81.4558333, 81.5758333, 82.2075000, 83.2558333, 84.5741667, 87.8858333, 89.3216667, 90.8275000, 93.8466667, 96.8141667, 98.9591667, 100.1558333, 100.0000000, 100.3891667, 101.2316667, 102.4150000, 103.6761898, 105.1330702, 106.7556069 
Sweden,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 56.1286086, 61.8404752, 67.2477089, 68.1235284, 71.3983319, 73.4546039, 75.4347176, 76.1583333, 77.5391667, 78.3175000, 78.7591667, 79.7783333, 81.9166667, 83.5050000, 85.4416667, 86.3150000, 87.0341667, 88.3366667, 89.8175000, 92.8250000, 94.6266667, 96.4308333, 97.7466667, 98.6633333, 99.0983333, 99.3025000, 100.0000000, 101.1358333, 103.0233333, 105.1208333, 106.8586686, 108.4257466, 110.1995184 
United Kingdom,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 52.1053263, 55.7575157, 59.9605452, 62.5007117, 64.0832985, 65.3505148, 67.1337920, 68.8166667, 70.0666667, 71.1583333, 72.1166667, 72.6916667, 73.5916667, 74.5150000, 75.5250000, 76.5416667, 78.1230000, 79.9333333, 81.7833333, 84.7250000, 86.5750000, 89.4333333, 93.4250000, 96.0416667, 98.5083333, 99.9583333, 100.0000000, 100.6500000, 103.3583333, 105.9166667, 107.8717166, 110.0813170, 112.4860593 
North Macedonia,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 80.4425000, 83.3908333, 85.1958333, 91.6700000, 91.6058333, 92.5700000, 95.5150000, 97.2558333, 99.9058333, 99.8675000, 99.9991667, 100.2358333, 102.3466667, 104.6641667, 106.1398377, 108.1320854, 110.3304047 
Serbia,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 55.0750000, 58.2583333, 65.2083333, 70.5250000, 74.9000000, 83.2583333, 89.4166667, 96.3166667, 98.5166667, 99.9916667, 101.3250000, 104.6666667, 106.7666667, 109.0199185, 111.2729380, 113.6600617 
Turkey,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1.5733333, 2.9191667, 5.3158333, 8.5775000, 13.1400000, 20.6041667, 30.2800000, 37.9433333, 41.7575000, 45.1508333, 49.3391667, 53.6591667, 59.2658333, 62.9725000, 68.3675000, 72.7900000, 79.3066667, 85.2175000, 92.8116667, 100.0000000, 107.6558333, 119.6250000, 139.1691667, 160.4557249, 177.0170065, 193.4610297 
Iceland,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 42.3394610, 43.2583333, 44.0541667, 44.6358333, 45.5900000, 47.5975000, 50.7383333, 53.4408333, 54.1758333, 55.4316667, 56.1883333, 58.8000000, 60.9375000, 68.7125000, 79.8858333, 85.8533333, 89.4633333, 94.8408333, 98.7641667, 99.7425000, 100.0008333, 100.7925000, 99.1250000, 99.8591667, NA, NA, NA 
Norway,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 69.5444386, 70.0333333, 71.8000000, 73.2083333, 74.7833333, 77.0666667, 79.1000000, 79.7416667, 81.3416667, 81.8166667, 83.0583333, 85.0916667, 85.7333333, 88.6500000, 90.7000000, 92.8166667, 93.9916667, 94.3250000, 96.1833333, 98.0000000, 99.9916667, 103.8916667, 105.8416667, 109.0333333, 111.5411000, 113.7719220, 116.0473604 
Switzerland,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 97.4250000, 98.4000000, 99.1666667, 101.5200000, 100.7666667, 101.3916667, 101.4916667, 100.7583333, 100.8333333, 100.8416667, 100.0000000, 99.4691667, 100.1066667, 101.0250000, 101.8663778, 103.1965449, 104.5545060 
Japan,(2015 = 100) ,18.5924658, 19.5973234, 20.9246995, 22.5277914, 23.3924409, 24.9348294, 26.2014020, 27.2436617, 28.7065456, 30.2115318, 32.4872170, 34.5863910, 36.2857224, 40.4840704, 49.8803732, 55.6780919, 60.9760073, 65.9740407, 68.7729394, 71.2719561, 76.8697535, 80.5682982, 82.8673935, 84.3668035, 86.2660562, 88.0653482, 88.5898538, 88.7016337, 89.3035254, 91.3327601, 94.1444540, 97.2055030, 98.9165950, 100.1461737, 100.8426483, 100.7136715, 100.8512468, 102.6139295, 103.2932072, 102.9406707, 102.2441960, 101.4875322, 100.5503009, 100.2923474, 100.2837489, 100.0000000, 100.2493551, 100.3095443, 101.6938951, 100.3181427, 99.5958727, 99.3293207, 99.2777300, 99.6216681, 102.3731728, 103.1814273, 103.0610490, 103.5425623, 104.5571797, 105.1226167, 106.2814885, 107.0007174 
United States,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 75.3191667, 77.0358333, 79.1883333, 82.2450000, 84.8825000, 87.1133333, 90.9708333, 90.2475000, 92.5566667, 96.1608333, 98.2316667, 99.4775000, 100.8108333, 100.0008333, 100.5458333, 102.2850000, 104.5208333, 106.3928430, 108.6064901, 110.7949653 
